Freq.	V(vin)/I(R1)
6.60693448007593e+004	(7.14733014750356e+001dB,-1.61133488588886e+002°)
6.76082975391979e+004	(7.15381567738220e+001dB,-1.61128269194234e+002°)
6.91830970918933e+004	(7.16030240204592e+001dB,-1.61132401751575e+002°)
7.07945784384134e+004	(7.16678416525562e+001dB,-1.61145880636746e+002°)
7.24435960074987e+004	(7.17325482802758e+001dB,-1.61168678703085e+002°)
7.41310241300914e+004	(7.17970829045419e+001dB,-1.61200747428115e+002°)
7.58577575029180e+004	(7.18613851324892e+001dB,-1.61242017172017e+002°)
7.76247116628688e+004	(7.19253953886576e+001dB,-1.61292397545601e+002°)
7.94328234724277e+004	(7.19890551204771e+001dB,-1.61351777884487e+002°)
8.12830516164095e+004	(7.20523069966531e+001dB,-1.61420027825298e+002°)
8.31763771102667e+004	(7.21150950971346e+001dB,-1.61496997978791e+002°)
8.51138038202372e+004	(7.21773650934438e+001dB,-1.61582520694045e+002°)
8.70963589956076e+004	(7.22390644182405e+001dB,-1.61676410907090e+002°)
8.91250938133741e+004	(7.23001424231148e+001dB,-1.61778467066692e+002°)
9.12010839355905e+004	(7.23605505237190e+001dB,-1.61888472129493e+002°)
9.33254300796986e+004	(7.24202423314823e+001dB,-1.62006194616173e+002°)
9.54992586021431e+004	(7.24791737712859e+001dB,-1.62131389719988e+002°)
9.77237220955805e+004	(7.25373031846173e+001dB,-1.62263800458756e+002°)
9.99999999999995e+004	(7.25945914178618e+001dB,-1.62403158861182e+002°)
1.02329299228075e+005	(7.26510018955330e+001dB,-1.62549187178407e+002°)
1.04712854805089e+005	(7.27065006783813e+001dB,-1.62701599111664e+002°)
1.07151930523760e+005	(7.27610565064576e+001dB,-1.62860101047092e+002°)
1.09647819614318e+005	(7.28146408273389e+001dB,-1.63024393289009e+002°)
1.12201845430196e+005	(7.28672278098449e+001dB,-1.63194171283245e+002°)
1.14815362149688e+005	(7.29187943436937e+001dB,-1.63369126822575e+002°)
1.17489755493952e+005	(7.29693200256457e+001dB,-1.63548949226734e+002°)
1.20226443461741e+005	(7.30187871327855e+001dB,-1.63733326490081e+002°)
1.23026877081237e+005	(7.30671805836697e+001dB,-1.63921946390527e+002°)
1.25892541179416e+005	(7.31144878881453e+001dB,-1.64114497554012e+002°)
1.28824955169313e+005	(7.31606990867002e+001dB,-1.64310670469475e+002°)
1.31825673855640e+005	(7.32058066802543e+001dB,-1.64510158449918e+002°)
1.34896288259165e+005	(7.32498055513357e+001dB,-1.64712658535924e+002°)
1.38038426460288e+005	(7.32926928776065e+001dB,-1.64917872338617e+002°)
1.41253754462275e+005	(7.33344680387152e+001dB,-1.65125506819793e+002°)
1.44543977074592e+005	(7.33751325174500e+001dB,-1.65335275007609e+002°)
1.47910838816820e+005	(7.34146897961579e+001dB,-1.65546896646836e+002°)
1.51356124843620e+005	(7.34531452493710e+001dB,-1.65760098783337e+002°)
1.54881661891247e+005	(7.34905060335549e+001dB,-1.65974616282984e+002°)
1.58489319246110e+005	(7.35267809748545e+001dB,-1.66190192285753e+002°)
1.62181009735892e+005	(7.35619804556698e+001dB,-1.66406578596240e+002°)
1.65958690743755e+005	(7.35961163008445e+001dB,-1.66623536012271e+002°)
1.69824365246173e+005	(7.36292016641980e+001dB,-1.66840834593648e+002°)
1.73780082874937e+005	(7.36612509160723e+001dB,-1.67058253873439e+002°)
1.77827941003891e+005	(7.36922795325074e+001dB,-1.67275583014465e+002°)
1.81970085860997e+005	(7.37223039865986e+001dB,-1.67492620913889e+002°)
1.86208713666286e+005	(7.37513416425260e+001dB,-1.67709176259002e+002°)
1.90546071796324e+005	(7.37794106526891e+001dB,-1.67925067537397e+002°)
1.94984459975803e+005	(7.38065298583155e+001dB,-1.68140123004863e+002°)
1.99526231496887e+005	(7.38327186938589e+001dB,-1.68354180614334e+002°)
2.04173794466952e+005	(7.38579970954429e+001dB,-1.68567087909280e+002°)
2.08929613085403e+005	(7.38823854135562e+001dB,-1.68778701884865e+002°)
2.13796208950222e+005	(7.39059043301530e+001dB,-1.68988888820183e+002°)
2.18776162394954e+005	(7.39285747802683e+001dB,-1.69197524084771e+002°)
2.23872113856833e+005	(7.39504178782121e+001dB,-1.69404491922516e+002°)
2.29086765276776e+005	(7.39714548483695e+001dB,-1.69609685215952e+002°)
2.34422881531991e+005	(7.39917069605970e+001dB,-1.69813005233788e+002°)
2.39883291901948e+005	(7.40111954701732e+001dB,-1.70014361364385e+002°)
2.45470891568501e+005	(7.40299415622362e+001dB,-1.70213670837714e+002°)
2.51188643150956e+005	(7.40479663006116e+001dB,-1.70410858438195e+002°)
2.57039578276885e+005	(7.40652905809180e+001dB,-1.70605856210608e+002°)
2.63026799189536e+005	(7.40819350878161e+001dB,-1.70798603161134e+002°)
2.69153480392690e+005	(7.40979202562559e+001dB,-1.70989044955398e+002°)
2.75422870333815e+005	(7.41132662365600e+001dB,-1.71177133615211e+002°)
2.81838293126444e+005	(7.41279928631776e+001dB,-1.71362827215553e+002°)
2.88403150312659e+005	(7.41421196269336e+001dB,-1.71546089583195e+002°)
2.95120922666637e+005	(7.41556656505925e+001dB,-1.71726889998171e+002°)
3.01995172040200e+005	(7.41686496675577e+001dB,-1.71905202899192e+002°)
3.09029543251357e+005	(7.41810900035227e+001dB,-1.72081007593957e+002°)
3.16227766016836e+005	(7.41930045608936e+001dB,-1.72254287975161e+002°)
3.23593656929626e+005	(7.42044108058051e+001dB,-1.72425032242916e+002°)
3.31131121482589e+005	(7.42153257575538e+001dB,-1.72593232634148e+002°)
3.38844156139200e+005	(7.42257659802801e+001dB,-1.72758885159459e+002°)
3.46736850452529e+005	(7.42357475767322e+001dB,-1.72921989347840e+002°)
3.54813389233573e+005	(7.42452861839553e+001dB,-1.73082547999520e+002°)
3.63078054770099e+005	(7.42543969707527e+001dB,-1.73240566947170e+002°)
3.71535229097170e+005	(7.42630946367747e+001dB,-1.73396054825619e+002°)
3.80189396320558e+005	(7.42713934130983e+001dB,-1.73549022850150e+002°)
3.89045144994278e+005	(7.42793070641672e+001dB,-1.73699484603406e+002°)
3.98107170553494e+005	(7.42868488909705e+001dB,-1.73847455830892e+002°)
